id,round,team1_id,team2_id,date,stadium,goal1,goal2
1,Round of 32,2,3,2018-06-14 11:00:00,"Luzhniki Stadium, Moscow",,
2,Round of 32,1,4,2018-06-15 08:00:00,Ekaterinburg Stadium,,
3,Round of 32,6,5,2018-06-15 11:00:00,Saint Petersburg Stadium,,
4,Round of 32,7,8,2018-06-15 14:00:00,"Fisht Stadium, Sochi",,
5,Round of 32,11,9,2018-06-16 06:00:00,Kazan Arena,,
6,Round of 32,13,15,2018-06-16 09:00:00,"Otkrytiye Arena, Moscow",,
7,Round of 32,12,10,2018-06-16 12:00:00,Saransk Stadium,,
8,Round of 32,14,16,2018-06-16 15:00:00,Kaliningrad Stadium,,
9,Round of 32,18,20,2018-06-17 08:00:00,Samara Stadium,,
10,Round of 32,21,23,2018-06-17 11:00:00,"Luzhniki Stadium, Moscow",,
11,Round of 32,17,19,2018-06-17 14:00:00,Rostov-on-Don Stadium,,
12,Round of 32,24,22,2018-06-18 08:00:00,Nizhny Novgorod Stadium,,
13,Round of 32,25,27,2018-06-18 11:00:00,"Fisht Stadium, Sochi",,
14,Round of 32,28,26,2018-06-18 14:00:00,Volgograd Stadium,,
15,Round of 32,29,30,2018-06-19 08:00:00,Saransk Stadium,,
16,Round of 32,31,32,2018-06-19 11:00:00,"Otkrytiye Arena, Moscow",,
17,Round of 32,2,1,2018-06-19 14:00:00,Saint Petersburg Stadium,,
18,Round of 32,7,6,2018-06-20 08:00:00,"Luzhniki Stadium, Moscow",,
19,Round of 32,4,3,2018-06-20 11:00:00,Rostov-on-Don Stadium,,
20,Round of 32,5,8,2018-06-20 14:00:00,Kazan Arena,,
21,Round of 32,10,9,2018-06-21 08:00:00,Samara Stadium,,
22,Round of 32,11,12,2018-06-21 11:00:00,Ekaterinburg Stadium,,
23,Round of 32,13,14,2018-06-21 14:00:00,Nizhny Novgorod Stadium,,
24,Round of 32,17,18,2018-06-22 08:00:00,Saint Petersburg Stadium,,
25,Round of 32,16,15,2018-06-22 11:00:00,Volgograd Stadium,,
26,Round of 32,20,19,2018-06-22 14:00:00,Kaliningrad Stadium,,
27,Round of 32,25,28,2018-06-23 08:00:00,"Otkrytiye Arena, Moscow",,
28,Round of 32,22,23,2018-06-23 11:00:00,Rostov-on-Don Stadium,,
29,Round of 32,21,24,2018-06-23 14:00:00,"Fisht Stadium, Sochi",,
30,Round of 32,26,27,2018-06-24 08:00:00,Nizhny Novgorod Stadium,,
31,Round of 32,30,32,2018-06-24 11:00:00,Ekaterinburg Stadium,,
32,Round of 32,31,29,2018-06-24 14:00:00,Kazan Arena,,
33,Round of 32,4,2,2018-06-25 10:00:00,Samara Stadium,,
34,Round of 32,3,1,2018-06-25 10:00:00,Volgograd Stadium,,
35,Round of 32,5,7,2018-06-25 14:00:00,Saransk Stadium,,
36,Round of 32,8,6,2018-06-25 14:00:00,Kaliningrad Stadium,,
37,Round of 32,10,11,2018-06-26 10:00:00,"Luzhniki Stadium, Moscow",,
38,Round of 32,9,12,2018-06-26 10:00:00,"Fisht Stadium, Sochi",,
39,Round of 32,16,13,2018-06-26 14:00:00,Saint Petersburg Stadium,,
40,Round of 32,15,14,2018-06-26 14:00:00,Rostov-on-Don Stadium,,
41,Round of 32,23,24,2018-06-27 10:00:00,Ekaterinburg Stadium,,
42,Round of 32,22,21,2018-06-27 10:00:00,Kazan Arena,,
43,Round of 32,20,17,2018-06-27 14:00:00,"Otkrytiye Arena, Moscow",,
44,Round of 32,19,18,2018-06-27 14:00:00,Nizhny Novgorod Stadium,,
45,Round of 32,30,31,2018-06-28 10:00:00,Volgograd Stadium,,
46,Round of 32,32,29,2018-06-28 10:00:00,Samara Stadium,,
47,Round of 32,27,28,2018-06-28 14:00:00,Saransk Stadium,,
48,Round of 32,26,25,2018-06-28 14:00:00,Kaliningrad Stadium,,
